naics_code,naics_title_ours,selected_felten_code,selected_felten_name,aiie_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step4_match_flag
7225,Restaurants,7225,Restaurants and Other Eating Places,-1.171986,raw_exact_match,,notebook_raw_appendix_b,10781478.0,0.093466412646259,True
5613,Employment services,5613,Employment Services,-0.7234654,raw_exact_match,,notebook_raw_appendix_b,3202176.0,0.02776019237640211,True
6241,Individual and family services,6241,Individual and Family Services,1.163092,raw_exact_match,,notebook_raw_appendix_b,3111631.0,0.0269752428237475,True
6221,General medical and surgical hospitals,6221,General Medical and Surgical Hospitals,0.5274962,raw_exact_match,,notebook_raw_appendix_b,3077727.0,0.026681323450693194,True
6211,Offices of physicians,6211,Offices of Physicians,1.009907,raw_exact_match,,notebook_raw_appendix_b,2886021.0,0.025019392488837715,True
4451,Grocery stores,4450,Food and Beverage Stores (4451 and 4452 only),-0.4066956,raw_normalized_match,,notebook_raw_appendix_b,2658001.0,0.02304264946607219,True
2382,Building equipment contractors,2382,Building Equipment Contractors,-0.8320791,raw_exact_match,,notebook_raw_appendix_b,2513189.0,0.021787250331729936,True
5511,Management of companies and enterprises,5511,Management of Companies and Enterprises,1.69871,raw_exact_match,,notebook_raw_appendix_b,2476752.0,0.021471371963514396,True
5415,Computer systems design and related services,5415,Computer Systems Design and Related Services,1.860226,raw_exact_match,,notebook_raw_appendix_b,2388342.0,0.020704931078317047,True
5617,Services to buildings and dwellings,5617,Services to Buildings and Dwellings,-1.998597,raw_exact_match,,notebook_raw_appendix_b,2263587.0,0.01962340938809201,True
4552,"NAICS 4552 Warehouse clubs, supercenters, and other general merchandise retailers",4520,General Merchandise Stores,-0.007219,raw_normalized_match,,notebook_raw_appendix_b,1900643.0,0.01647698793534835,True
5416,Management and technical consulting services,5416,"Management, Scientific, and Technical Consulting Services",1.8047,raw_exact_match,,notebook_raw_appendix_b,1856146.0,0.016091236096544746,True
6216,Home health care services,6216,Home Health Care Services,0.6927072,raw_exact_match,,notebook_raw_appendix_b,1700122.0,0.01473863828326535,True
5221,Depository credit intermediation,5220,Credit Intermediation and Related Activities (5221 And 5223 only),1.888684,raw_normalized_match,,notebook_raw_appendix_b,1688994.0,0.01464216781419538,True
5413,Architectural and engineering services,5413,"Architectural, Engineering, and Related Services",1.492814,raw_exact_match,,notebook_raw_appendix_b,1677691.0,0.01454418024123547,True
4931,Warehousing and storage,4931,Warehousing and Storage,-1.59126,raw_exact_match,,notebook_raw_appendix_b,1577562.0,0.013676145410402697,True
7211,Traveler accommodation,7211,Traveler Accommodation,-0.902616,raw_exact_match,,notebook_raw_appendix_b,1536214.0,0.013317692772452917,True
6231,Nursing care facilities,6231,Nursing Care Facilities (Skilled Nursing Facilities),-0.2430007,raw_exact_match,,notebook_raw_appendix_b,1291237.0,0.011193946717334816,True
5242,Insurance agencies and brokerages,5242,"Agencies, Brokerages, and Other Insurance Related Activities",2.120996,raw_exact_match,,notebook_raw_appendix_b,1286103.0,0.011149439223786538,True
4411,Automobile dealers,4411,Automobile Dealers,-0.1668894,raw_exact_match,,notebook_raw_appendix_b,1249125.0,0.010828870837259814,True
6213,Offices of other health practitioners,6213,Offices of Other Health Practitioners,0.7008373,raw_exact_match,,notebook_raw_appendix_b,1224360.0,0.010614178963920686,True
7139,Other amusement and recreation industries,7139,Other Amusement and Recreation Industries,-1.085068,raw_exact_match,,notebook_raw_appendix_b,1207621.0,0.010469065809556718,True
5411,Legal services,5411,Legal Services,2.156741,raw_exact_match,,notebook_raw_appendix_b,1191123.0,0.010326041923978322,True
5412,Accounting and bookkeeping services,5412,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",2.215628,raw_exact_match,,notebook_raw_appendix_b,1131910.0,0.00981271465177845,True
