naics_code,naics_title_ours,latest_year_employment,latest_year_weight,naics_prefix_2,live_codes_in_2digit_family,matched_codes_in_2digit_family,felten_naics_code,felten_naics_title,aiie_score
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4811,Scheduled Air Transportation,-0.4555449
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4812,Nonscheduled Air Transportation,0.1134526
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4821,Rail Transportation,-0.5922358
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",-0.3280049
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4832,Inland Water Transportation,-0.8718479
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4840,Truck Transportation,-1.282191
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4851,Urban Transit Systems,-0.1201694
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4852,Interurban and Rural Bus Transportation,-0.0462207
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4853,Taxi and Limousine Service,1.369857
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4854,School and Employee Bus Transportation,0.076602
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4855,Charter Bus Industry,0.0093568
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4859,Other Transit and Ground Passenger Transportation,0.9623069
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4861,Pipeline Transportation of Crude Oil,-0.1340503
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4862,Pipeline Transportation of Natural Gas,-0.0901119
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4869,Other Pipeline Transportation,-0.0393555
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4871,"Scenic and Sightseeing Transportation, Land",0.4042215
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4872,"Scenic and Sightseeing Transportation, Water",-0.6679308
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4879,"Scenic and Sightseeing Transportation, Other",0.1866125
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4881,Support Activities for Air Transportation,-0.3353398
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4882,Support Activities for Rail Transportation,-1.474989
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4883,Support Activities for Water Transportation,-1.411064
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4884,Support Activities for Road Transportation,-0.9504591
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4885,Freight Transportation Arrangement,1.024609
4841,General freight trucking,1000083.0,0.008669884626069695,48,25,23,4889,Other Support Activities for Transportation,-1.105623
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4230,"Merchant Wholesalers, Durable Goods (4232, 4233, 4235, 4236, 4237, and 4239 only)",0.2424777
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4231,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,-0.1601646
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4234,Professional and Commercial Equipment and Supplies Merchant Wholesalers,1.041147
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4238,"Machinery, Equipment, and Supplies Merchant Wholesalers",0.2607571
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4240,"Merchant Wholesalers, Nondurable Goods (4244 and 4248 only)",-0.358483
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4240,"Merchant Wholesalers, Nondurable Goods (4241, 4247, and 4249 only)",0.6838242
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4240,"Merchant Wholesalers, Nondurable Goods (4242 and 4246 only)",-0.0027297
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4243,"Apparel, Piece Goods, and Notions Merchant Wholesalers",0.6573116
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4245,Farm Product Raw Material Merchant Wholesalers,-0.7109669
4244,Grocery and related product wholesalers,784814.0,0.006803682127307695,42,19,6,4251,Wholesale Electronic Markets and Agents and Brokers,0.9876717
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4811,Scheduled Air Transportation,-0.4555449
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4812,Nonscheduled Air Transportation,0.1134526
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4821,Rail Transportation,-0.5922358
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4831,"Deep Sea, Coastal, and Great Lakes Water Transportation",-0.3280049
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4832,Inland Water Transportation,-0.8718479
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4840,Truck Transportation,-1.282191
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4851,Urban Transit Systems,-0.1201694
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4852,Interurban and Rural Bus Transportation,-0.0462207
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4853,Taxi and Limousine Service,1.369857
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4854,School and Employee Bus Transportation,0.076602
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4855,Charter Bus Industry,0.0093568
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4859,Other Transit and Ground Passenger Transportation,0.9623069
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4861,Pipeline Transportation of Crude Oil,-0.1340503
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4862,Pipeline Transportation of Natural Gas,-0.0901119
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4869,Other Pipeline Transportation,-0.0393555
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4871,"Scenic and Sightseeing Transportation, Land",0.4042215
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4872,"Scenic and Sightseeing Transportation, Water",-0.6679308
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4879,"Scenic and Sightseeing Transportation, Other",0.1866125
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4881,Support Activities for Air Transportation,-0.3353398
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4882,Support Activities for Rail Transportation,-1.474989
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4883,Support Activities for Water Transportation,-1.411064
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4884,Support Activities for Road Transportation,-0.9504591
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4885,Freight Transportation Arrangement,1.024609
4842,Specialized freight trucking,417587.0,0.003620130640503404,48,25,23,4889,Other Support Activities for Transportation,-1.105623
4491,NAICS 4491 Furniture and home furnishings retailers,388899.0,0.0033714296325343777,44,18,17,4411,Automobile Dealers,-0.1668894
4491,NAICS 4491 Furniture and home furnishings retailers,388899.0,0.0033714296325343777,44,18,17,4412,Other Motor Vehicle Dealers,-0.1300993
4491,NAICS 4491 Furniture and home furnishings retailers,388899.0,0.0033714296325343777,44,18,17,4413,"Automotive Parts, Accessories, and Tire Stores",-0.6871853
