soc_code,soc_title_ours,selected_felten_code,selected_felten_name,aioe_score,match_basis,manual_notes,review_source,latest_year_employment,latest_year_weight,step3_match_flag
31-1120,Home Health and Personal Care Aides,31-1011,Home Health Aides,-0.644942,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial,3887140.0,0.02980551128297715,True
41-2031,Retail Salespersons,41-2031,Retail Salespersons,0.0873069,raw_crosswalk_single_match,,notebook_raw_soc_bridge,3439720.0,0.02637481883088393,True
35-3023,Fast Food and Counter Workers,35-3023,Fast Food and Counter Workers (##),-0.4850956,raw_crosswalk_deduplicated,,notebook_raw_soc_bridge,3408200.0,0.026133132214080975,True
29-1141,Registered Nurses,29-1141,Registered Nurses,0.2294097,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2985110.0,0.022888995453193846,True
11-1021,General and Operations Managers,11-1021,General and Operations Managers,0.5748773,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2949930.0,0.022619244971622526,True
41-2011,Cashiers,41-2011,Cashiers,-0.2480887,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2615670.0,0.020056232010564282,True
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",-1.709183,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2565600.0,0.01967230913926593,True
53-7065,Stockers and Order Fillers,53-7065,Stockers and Order Fillers,-0.7892948,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2458870.0,0.018853933104640952,True
43-4051,Customer Service Representatives,43-4051,Customer Service Representatives,0.9562519,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2195480.0,0.01683433164525864,True
43-9061,"Office Clerks, General",43-9061,"Office Clerks, General",0.9888986,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2086330.0,0.015997399721907037,True
35-3031,Waiters and Waitresses,35-3031,Waiters and Waitresses,-0.9481003,raw_crosswalk_single_match,,notebook_raw_soc_bridge,2038530.0,0.015630882580943164,True
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",-1.436201,raw_crosswalk_single_match,,notebook_raw_soc_bridge,1937020.0,0.014852532058364865,True
53-3032,Heavy and Tractor-Trailer Truck Drivers,53-3032,Heavy and Tractor-Trailer Truck Drivers,-1.149057,raw_crosswalk_single_match,,notebook_raw_soc_bridge,1682000.0,0.012897109437264303,True
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",1.099056,raw_crosswalk_single_match,,notebook_raw_soc_bridge,1442720.0,0.011062376770112934,True
15-1252,Software Developers,15-1132,"Software Developers, Applications (#)",,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial,1441640.0,0.011054095629689483,False
49-9071,"Maintenance and Repair Workers, General",49-9071,"Maintenance and Repair Workers, General",-1.014408,raw_crosswalk_single_match,,notebook_raw_soc_bridge,1293980.0,0.009921879708460918,True
13-2011,Accountants and Auditors,13-2011,Accountants and Auditors,1.481956,raw_crosswalk_single_match,,notebook_raw_soc_bridge,1276060.0,0.009784474119212537,True
35-2014,"Cooks, Restaurant",35-2014,"Cooks, Restaurant",-0.7418264,raw_crosswalk_single_match,,notebook_raw_soc_bridge,1259230.0,0.00965542634761375,True
