our_soc_code,our_name,felten_soc_code,felten_soc_name,felten_soc_code_2010_final,felten_soc_title,felten_score,match_basis,manual_notes,review_source
11-1011,Chief Executives,11-1011,Chief Executives,11-1011,Chief Executives,1.334246,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-1021,General and Operations Managers,11-1021,General and Operations Managers,11-1021,General and Operations Managers,0.5748773,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-2011,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,1.294387,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-2021,Marketing Managers,11-2021,Marketing Managers,11-2021,Marketing Managers,1.315032,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-2022,Sales Managers,11-2022,Sales Managers,11-2022,Sales Managers,1.26628,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-2032,Public Relations Managers,11-2031,Public Relations Managers,11-2031,Public Relations Managers,1.293689,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
11-2033,Fundraising Managers,11-2031,Public Relations Managers,11-2031,Public Relations Managers,1.293689,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
11-3012,Administrative Services Managers,11-3011,Administrative Services Managers,11-3011,Administrative Services Managers,0.7398278,accepted_suggested_join,Same SOC major group with strong title alignment.,recommended_felten_soc_overrides_initial
11-3013,Facilities Managers,11-3011,Administrative Services Managers,11-3011,Administrative Services Managers,0.7398278,accepted_suggested_join,Same SOC major group with moderate title alignment.,recommended_felten_soc_overrides_initial
11-3021,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers,1.059853,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-3031,Financial Managers,11-3031,Financial Managers,11-3031,Financial Managers,1.446232,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-3051,Industrial Production Managers,11-3051,Industrial Production Managers,11-3051,Industrial Production Managers,0.5086878,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-3061,Purchasing Managers,11-3061,Purchasing Managers,11-3061,Purchasing Managers,1.423426,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-3071,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",0.8907923,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-3111,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers,1.298235,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-3121,Human Resources Managers,11-3121,Human Resources Managers,11-3121,Human Resources Managers,1.320417,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-3131,Training and Development Managers,11-3131,Training and Development Managers,11-3131,Training and Development Managers,1.284423,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",-0.1443684,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9021,Construction Managers,11-9021,Construction Managers,11-9021,Construction Managers,1.029139,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9031,"Education and Childcare Administrators, Preschool and Daycare",11-9031,"Education Administrators, Preschool and Child Care Center/Program",11-9031,"Education Administrators, Preschool and Child Care Center/Program",0.838007,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9032,"Education Administrators, Kindergarten through Secondary",11-9032,"Education Administrators, Elementary and Secondary School",11-9032,"Education Administrators, Elementary and Secondary School",1.048811,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9033,"Education Administrators, Postsecondary",11-9033,"Education Administrators, Postsecondary",11-9033,"Education Administrators, Postsecondary",1.461149,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9039,"Education Administrators, All Other",11-9039,"Education Administrators, All Other",11-9039,"Education Administrators, All Other",0.3541265,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9041,Architectural and Engineering Managers,11-9041,Engineering Managers,11-9041,Engineering Managers,0.8370105,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9051,Food Service Managers,11-9051,Food Service Managers,11-9051,Food Service Managers,-0.1213112,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9071,Gambling Managers,11-9071,Gaming Managers,11-9071,Gaming Managers,0.8299207,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9072,"Entertainment and Recreation Managers, Except Gambling",11-9072,"Entertainment and Recreation Managers, Except Gambling",11-9199,"Managers, All Other",0.9646872,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9081,Lodging Managers,11-9081,Lodging Managers,11-9081,Lodging Managers,0.4021726,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9111,Medical and Health Services Managers,11-9111,Medical and Health Services Managers,11-9111,Medical and Health Services Managers,1.260259,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9121,Natural Sciences Managers,11-9121,Natural Sciences Managers,11-9121,Natural Sciences Managers,1.327906,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9131,Postmasters and Mail Superintendents,11-9131,Postmasters and Mail Superintendents,11-9131,Postmasters and Mail Superintendents,0.8233757,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9141,"Property, Real Estate, and Community Association Managers",11-9141,"Property, Real Estate, and Community Association Managers",11-9141,"Property, Real Estate, and Community Association Managers",1.215396,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9151,Social and Community Service Managers,11-9151,Social and Community Service Managers,11-9151,Social and Community Service Managers,1.156153,raw_crosswalk_single_match,,notebook_raw_soc_bridge
11-9161,Emergency Management Directors,11-9161,Emergency Management Directors,11-9161,Emergency Management Directors,1.030768,raw_crosswalk_single_match,,notebook_raw_soc_bridge
