name,poi_class,display_category,lon,lat,ring_mi
,,Social Or Community Service,-81.68964248,30.25272765,5
,,Sport Or Recreation Club,-81.685478,30.247351,5
,,Golf Course,-81.68531281267033,30.247280216620343,5
,,Political Organization,-81.68738,30.246130000000004,5
,,Home Service,-81.69233277,30.245702690000005,5
,,Social Or Community Service,-81.68854962668095,30.243455663956343,5
,,Bar,-81.69457,30.24285,5
,,Uncategorized,-81.693641,30.244041999999993,5
,,Historic Site,-81.6932005,30.241288970000006,5
,,Personal Or Beauty Service,-81.69382,30.24097,5
,,Uncategorized,-81.67236328125,30.240086360983007,5
,,Uncategorized,-81.687887907028,30.240032485576997,5
,,Printing Service,-81.69425,30.240180000000006,5
,,Legal Service,-81.6949334,30.240004100000004,5
,,Storage Facility,-81.695662,30.2399908,5
,,Specialty Store,-81.69578948,30.240084760000002,5
,,Personal Or Beauty Service,-81.69614894,30.23973553,5
,,Personal Or Beauty Service,-81.69583365000001,30.23968442,5
,,Park,-81.694802977145,30.239683018850997,5
,,Convenience Store,-81.695775,30.239824,5
,,Restaurant,-81.69581023,30.239842109999994,5
,,Food And Beverage Store,-81.6956033,30.239835799999987,5
,,Gas Station,-81.69563734525092,30.239844410671314,5
,,Personal Or Beauty Service,-81.69562,30.239905999999994,5
,,Home Service,-81.6959,30.239259999999994,5
,,Hardware Home And Garden Store,-81.69636846,30.239284229999996,5
,,Vehicle Dealer,-81.69595101000002,30.238479860000012,5
,,Building Or Construction Service,-81.6964154,30.2385302,5
,,Storage Facility,-81.69540312,30.23800874999999,5
,,Airport,-81.680555555556,30.235833333332994,5
,,Military Site,-81.680555555556,30.235833333332994,5
,,Pharmacy And Drug Store,-81.6946593,30.23566890000001,5
,,Specialty Store,-81.6946593,30.23566890000001,5
,,Department Store,-81.69438016,30.23540785,5
,,Electronics Store,-81.6943881,30.235403099999996,5
,,Books Music And Video Store,-81.69474,30.235343999999994,5
,,Coffee Shop,-81.69473782,30.235331320000004,5
,,Corporate Or Business Office,-81.69475383237499,30.23522633833808,5
,,Bank Or Credit Union,-81.694754,30.235225999999994,5
,,Restaurant,-81.6951325,30.23525690000001,5
,,Uncategorized,-81.6951325,30.23525690000001,5
,,Atm,-81.6951325,30.23525690000001,5
,,Bank Or Credit Union,-81.69458768622694,30.235379537983903,5
,,Atm,-81.69438934326172,30.235403060913086,5
,,Coffee Shop,-81.69476,30.235520000000005,5
,,Electronics Store,-81.697622,30.235422999999994,5
,,Electronics Store,-81.69695017375,30.235370113250006,5
,,Restaurant,-81.6968829,30.235327600000005,5
,,Electronics Store,-81.6968829,30.235327600000005,5
,,Casual Eatery,-81.69686492,30.23521767,5
,,Bank Or Credit Union,-81.696725,30.2360895,5
,,Bank Or Credit Union,-81.696748,30.23605,5
,,Home Service,-81.69471488,30.236071330000005,5
